Organisms	Organisms.1
ati	Azospirillum thiophilum
ahu	Azospirillum humicireducens
azt	Azospirillum sp. TSH58
azm	Azospirillum ramasamyi
azz	Azospirillum sp. CFH 70021
aoz	Azospirillum oryzae
tmo	Tistrella mobilis
thal	Candidatus Endolissoclinum faulkneri L2
efk	Candidatus Endolissoclinum faulkneri L5
txi	Thalassospira xiamenensis
thac	Thalassospira marina
tii	Thalassospira indica
magq	Magnetospira sp. QH-2
hjo	Haematospirillum jordaniae
nao	Nitrospirillum amazonense
ncb	Niveispirillum cyanobacteriorum
fer	Ferrovibrio terrae
htq	Hypericibacter terrae
hadh	Hypericibacter adhaerens
dex	Defluviicoccus sp. SSA4
pbr	Parvularcula bermudensis
mgm	Magnetococcus marinus
pub	Candidatus Pelagibacter ubique
pel	Candidatus Pelagibacter sp. IMCC9063
peg	Candidatus Pelagibacter giovannonii
apc	Alpha proteobacterium HIMB59
apm	Alpha proteobacterium HIMB5
ecog	Emcibacter congregatus
mai	Micavibrio aeruginosavorus ARL-13
man	Micavibrio aeruginosavorus EPB
pgv	Polymorphum gilvum
phr	Phreatobacter cathodiphilus
pstg	Phreatobacter stygius
apb	Candidatus Puniceispirillum marinum
bba	Bdellovibrio bacteriovorus HD100
bbat	Bdellovibrio bacteriovorus Tiberius
bbw	Bdellovibrio bacteriovorus W
bbac	Bdellovibrio bacteriovorus 109J
bex	Bdellovibrio exovorus
bdq	Bdellovibrio sp. qaytius
bdc	Bdellovibrio sp. NC01
bdz	Bdellovibrio sp. ZAP7
bmx	Halobacteriovorax marinus
hax	Halobacteriovorax sp. BALOs_7
bsto	Bacteriovorax stolpii
sbf	Silvanigrellales bacterium RF1110005
afr	Acidithiobacillus ferrooxidans ATCC 23270
afe	Acidithiobacillus ferrooxidans ATCC 53993
acu	Acidithiobacillus caldus SM-1
acz	Acidithiobacillus caldus ATCC 51756
afi	Acidithiobacillus ferrivorans
afj	Acidithiobacillus ferridurans
atx	Acidithiobacillus thiooxidans
maes	Mariprofundus aestuarium
mfn	Mariprofundus ferrinatatus
htl	Hydrogenophilus thermoluteolus
bsu	Bacillus subtilis subsp. subtilis 168
bsr	Bacillus subtilis subsp. subtilis RO-NN-1
bsl	Bacillus subtilis subsp. subtilis BSP1
bsh	Bacillus subtilis subsp. subtilis 6051-HGW
bsy	Bacillus subtilis subsp. subtilis BAB-1
bsut	Bacillus subtilis subsp. subtilis AG1839
bsul	Bacillus subtilis subsp. subtilis JH642
bsus	Bacillus subtilis subsp. subtilis OH 131.1
bss	Bacillus subtilis subsp. spizizenii W23
bst	Bacillus subtilis subsp. spizizenii TU-B-10
bso	Bacillus subtilis subsp. natto BEST195
bsn	Bacillus subtilis BSn5
bsq	Bacillus subtilis QB928
bsx	Bacillus subtilis XF-1
bsp	Bacillus subtilis PY79
bli	Bacillus licheniformis ATCC 14580
bld	Bacillus licheniformis DSM 13 = ATCC 14580
blh	Bacillus paralicheniformis
bay	Bacillus velezensis FZB42
baq	Bacillus velezensis CAU B946
bya	Bacillus velezensis YAU B9601-Y2
bamp	Bacillus velezensis AS43.3
baml	Bacillus velezensis UCMB5036
bama	Bacillus velezensis UCMB5033
bamn	Bacillus velezensis UCMB5113
bamb	Bacillus velezensis NAU-B3
bamt	Bacillus velezensis TrigoCor1448
bamy	Bacillus velezensis SQR9
bmp	Bacillus velezensis JS25R
bao	Bacillus amyloliquefaciens DSM 7
baz	Bacillus amyloliquefaciens TA208
bql	Bacillus amyloliquefaciens LL3
bxh	Bacillus amyloliquefaciens XH7
bqy	Bacillus amyloliquefaciens Y2
bami	Bacillus amyloliquefaciens IT-45
bamc	Bacillus amyloliquefaciens CC178
bamf	Bacillus amyloliquefaciens LFB112
bsia	Bacillus siamensis
bae	Bacillus atrophaeus
bvm	Bacillus vallismortis
bson	Bacillus sonorensis
bht	Bacillus halotolerans
ban	Bacillus anthracis Ames
bar	Bacillus anthracis Ames Ancestor
bat	Bacillus anthracis Sterne
bah	Bacillus anthracis CDC 684
bai	Bacillus anthracis A0248
bax	Bacillus anthracis H9401
bant	Bacillus anthracis A16
banr	Bacillus anthracis A16R
bans	Bacillus anthracis SVA11
banh	Bacillus anthracis HYU01
banv	Bacillus anthracis Vollum
bce	Bacillus cereus ATCC 14579
bca	Bacillus cereus ATCC 10987
bcz	Bacillus cereus E33L
bcr	Bacillus cereus AH187
bcb	Bacillus cereus B4264
bcu	Bacillus cereus AH820
bcg	Bacillus cereus G9842
bcq	Bacillus cereus Q1
bcx	Bacillus cereus 03BB102
bal	Bacillus cereus biovar anthracis CI
bnc	Bacillus cereus NC7401
bcf	Bacillus cereus F837/76
bcer	Bacillus cereus FRI-35
bcef	Bacillus cereus FT9
bcy	Bacillus cytotoxicus
btk	Bacillus thuringiensis serovar konkukian 97-27
btl	Bacillus thuringiensis Al Hakam
btb	Bacillus thuringiensis BMB171
btt	Bacillus thuringiensis serovar kurstaki HD73
bthr	Bacillus thuringiensis serovar kurstaki YBT-1520
bthi	Bacillus thuringiensis serovar kurstaki HD-1
btc	Bacillus thuringiensis serovar chinensis CT-43
btf	Bacillus thuringiensis serovar finitimus YBT-020
btm	Bacillus thuringiensis MC28
btg	Bacillus thuringiensis Bt407
bti	Bacillus thuringiensis HD-771
btn	Bacillus thuringiensis HD-789
btht	Bacillus thuringiensis serovar thuringiensis IS5056
bthu	Bacillus thuringiensis YBT-1518
btw	Bacillus thuringiensis HD1011
bthy	Bacillus thuringiensis YWC2-8
bwe	Bacillus mycoides KBAB4
bww	Bacillus mycoides WSBC 10204
bmyo	Bacillus mycoides ATCC 6462
bty	Bacillus toyonensis
bmyc	Bacillus pseudomycoides 219298
bby	Bacillus bombysepticus
bwd	Bacillus wiedmannii
btro	Bacillus tropicus
bpu	Bacillus pumilus SAFR-032
bpum	Bacillus pumilus MTCC B6033
bpus	Bacillus pumilus SH-B9
bmq	Bacillus megaterium QM B1551
bmd	Bacillus megaterium DSM 319
bmh	Bacillus megaterium WSH-002
bmeg	Bacillus megaterium NBRC 15308 = ATCC 14581
bco	Bacillus cellulosilyticus
bck	Bacillus coagulans 2-6
bag	Bacillus coagulans 36D1
bcoa	Bacillus coagulans DSM 1 = ATCC 7050
bjs	Bacillus sp. JS
baci	Bacillus sp. 1NLA3E
bif	Bacillus infantis
bmet	Bacillus methanolicus
gst	Bacillus sp. X1(2014)
bacw	Bacillus sp. WP8
bacp	Bacillus sp. Pc3
bacb	Bacillus sp. BH072
baco	Bacillus sp. OxB-1
bacy	Bacillus sp. YP1
bacl	Bacillus sp. BS34A
balm	Bacillus sp. LM 4-2
beo	Bacillus filamentosus
bsm	Bacillus smithii
bgy	Bacillus glycinifermentans
bfx	Bacillus flexus
bgi	Bacillus gibsonii
bwh	Bacillus weihaiensis
bxi	Bacillus xiamenensis
bhk	Bacillus horikoshii
bbev	Bacillus beveridgei
balt	Bacillus altitudinis
bacs	Bacillus sp. SDLI1
bsaf	Bacillus safensis
bit	Bacillus intestinalis
bacq	Bacillus sp. Y1
bthv	Bacillus thermoamylovorans
bcir	Bacillus circulans
bfd	Bacillus freudenreichii
bcoh	Bacillus cohnii
bha	Bacillus halodurans
bcl	Bacillus clausii
bpf	Bacillus pseudofirmus
ble	Bacillus lehensis
bkw	Alkalihalobacillus krulwichiae
bon	Bacillus oceanisediminis
bko	Cytobacillus kochii
oih	Oceanobacillus iheyensis
ocn	Oceanobacillus sp. 160
ocb	Oceanobacillus sp. 143
gka	Geobacillus kaustophilus
gte	Geobacillus thermoleovorans CCB_US3_UF5
gtk	Geobacillus thermoleovorans KCTC 3570
gtm	Geobacillus thermocatenulatus
gli	Geobacillus lituanicus
gtn	Geobacillus thermodenitrificans
gwc	Geobacillus sp. WCH70
gyc	Geobacillus sp. Y412MC61
gya	Geobacillus sp. Y412MC52
gct	Geobacillus sp. C56-T3
gmc	Geobacillus sp. Y4.1MC1
ggh	Geobacillus sp. GHH01
gjf	Geobacillus genomosp. 3
gea	Geobacillus sp. 12AMOR1
gel	Geobacillus sp. LC300
gse	Geobacillus stearothermophilus
gsr	Geobacillus subterraneus
gej	Geobacillus sp. JS12
gth	Parageobacillus thermoglucosidasius C56-YS93
ptl	Parageobacillus thermoglucosidasius DSM 2542
ptb	Parageobacillus toebii NBRC 107807
afl	Anoxybacillus flavithermus
agn	Anoxybacillus gonensis
anm	Anoxybacillus sp. B2M1
aamy	Anoxybacillus amylolyticus
anl	Anoxybacillus sp. B7M1
and	Anoxybacillus sp. PDR2
axl	Amphibacillus xylanus
lsp	Lysinibacillus sphaericus
lgy	Lysinibacillus varians
lfu	Lysinibacillus fusiformis
lys	Lysinibacillus sp. YS11
lyb	Lysinibacillus sp. B2A1
lyz	Lysinibacillus sp. 2017
lyg	Lysinibacillus sp. SGAir0095
lpak	Lysinibacillus pakistanensis
hhd	Halobacillus halophilus
hmn	Halobacillus mangrovi
hli	Halobacillus litoralis
tap	Terribacillus goriensis
vir	Virgibacillus sp. SK37
vhl	Virgibacillus halodenitrificans
vig	Virgibacillus sp. 6R
vil	Virgibacillus phasianinus
vne	Virgibacillus necropolis
vpn	Virgibacillus dokdonensis
vim	Virgibacillus sp. MSP4-1
lao	Lentibacillus amyloliquefaciens
fpn	Fictibacillus phosphorivorans
far	Fictibacillus arsenicus
sje	Salimicrobium jeotgali
apak	Aeribacillus pallidus
bsj	Peribacillus simplex
bmur	Peribacillus muralis
pbut	Peribacillus butanolivorans
pasa	Peribacillus asahii
aqt	Aquibacillus sp. TKL69
psyh	Psychrobacillus sp. AK 1817
psyo	Psychrobacillus glaciei
prd	Pradoshia sp. D12
grc	Gracilibacillus sp. SCU50
rue	Salicibibacter kimchii
sale	Salicibibacter halophilus
pof	Pontibacillus sp. HMF3514
nmk	Neobacillus mesonae
ntm	Neobacillus thermocopriae
meku	Metabacillus sp. KUDC1714
stea	Sporolactobacillus terrae
bse	Bacillus selenitireducens
sau	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sav	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)
saw	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)
sah	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)
saj	Staphylococcus aureus subsp. aureus JH9 (MRSA/VISA)
sam	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)
sas	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)
sar	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)
sac	Staphylococcus aureus subsp. aureus COL (MRSA)
sax	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MRSA)
saa	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)
sao	Staphylococcus aureus subsp. aureus NCTC8325
sae	Staphylococcus aureus subsp. aureus Newman
sad	Staphylococcus aureus subsp. aureus ED98
suu	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)
suv	Staphylococcus aureus subsp. aureus VC40
sue	Staphylococcus aureus subsp. aureus ED133
suj	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)
suk	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)
suc	Staphylococcus aureus subsp. aureus ECT-R 2 (MSSA)
sut	Staphylococcus aureus subsp. aureus T0131 (MRSA)
suq	Staphylococcus aureus subsp. aureus TCH60
suz	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)
sud	Staphylococcus aureus subsp. aureus 71193 (MSSA)
sux	Staphylococcus aureus subsp. aureus HO 5096 0412 (MRSA)
suw	Staphylococcus aureus subsp. aureus TW20 (MRSA)
sug	Staphylococcus aureus subsp. aureus ST398 (MRSA)
suf	Staphylococcus aureus subsp. aureus LGA251 (MRSA)
saua	Staphylococcus aureus subsp. aureus 55/2053
saue	Staphylococcus aureus subsp. aureus 6850 (MSSA)
saun	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)
saus	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)
sauu	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)
saug	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)
sauz	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)
saut	Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)
sauj	Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)
sauk	Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)
sauq	Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)
sauv	Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)
sauw	Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)
saux	Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)
sauy	Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)
sauf	Staphylococcus aureus subsp. aureus FDAARGOS_5
sab	Staphylococcus aureus RF122
suy	Staphylococcus aureus 04-02981 (MRSA)
saub	Staphylococcus aureus 08BA02176 (LA-MRSA)
saum	Staphylococcus aureus M1 (MRSA)
sauc	Staphylococcus aureus CA-347 (MRSA)
saur	Staphylococcus aureus Bmb9393 (MRSA)
saui	Staphylococcus aureus USA300-ISMMS1 (MRSA)
saud	Staphylococcus aureus 502A
sams	Staphylococcus aureus MS4
suh	Staphylococcus argenteus
ser	Staphylococcus epidermidis RP62A (MRSE)
sep	Staphylococcus epidermidis ATCC 12228
sepp	Staphylococcus epidermidis PM221
seps	Staphylococcus epidermidis SEI
sha	Staphylococcus haemolyticus JCSC1435
shh	Staphylococcus haemolyticus Sh29/312/L2
ssp	Staphylococcus saprophyticus
sca	Staphylococcus carnosus subsp. carnosus
slg	Staphylococcus lugdunensis HKU09-01
sln	Staphylococcus lugdunensis N920143
ssd	Staphylococcus pseudintermedius HKU10-03
sdt	Staphylococcus pseudintermedius ED99
swa	Staphylococcus warneri
spas	Staphylococcus pasteuri
sxy	Staphylococcus xylosus HKUOPL8
sxl	Staphylococcus xylosus SMQ-121
sxo	Staphylococcus xylosus C2a
shu	Staphylococcus hyicus
scap	Staphylococcus capitis subsp. capitis
ssch	Staphylococcus schleiferi 1360-13
sscz	Staphylococcus schleiferi 2317-03
sagq	Staphylococcus agnetis
seqo	Staphylococcus equorum
ssif	Staphylococcus simulans
scv	Staphylococcus condimenti
spet	Staphylococcus pettenkoferi
slz	Staphylococcus lutrae
scoh	Staphylococcus cohnii
sscu	Staphylococcus sciuri
snl	Staphylococcus nepalensis
skl	Staphylococcus kloosii
sfq	Staphylococcus felis
shom	Staphylococcus hominis
smus	Staphylococcus muscae
scar	Staphylococcus caprae
sff	Staphylococcus fleurettii
sdp	Staphylococcus delphini
schr	Staphylococcus chromogenes
mcl	Macrococcus caseolyticus
mcak	Macrococcus canis
macr	Macrococcus sp. IME1552
shv	Salinicoccus halodurans
sbac	Auricoccus indicus
lmo	Listeria monocytogenes EGD-e (serotype 1/2a)
lmn	Listeria monocytogenes 08-5578 (serotype 1/2a)
lmy	Listeria monocytogenes 08-5923 (serotype 1/2a)
lmt	Listeria monocytogenes 10403S (serotype 1/2a)
lmoc	Listeria monocytogenes SLCC5850 (serotype 1/2a)
lmoe	Listeria monocytogenes La111 (serotype 1/2a)
lmob	Listeria monocytogenes N53-1 (serotype 1/2a)
lmod	Listeria monocytogenes EGD (serotype 1/2a)
lmow	Listeria monocytogenes WSLC1001 (serotype 1/2a)
lmoq	Listeria monocytogenes 6179 (serotype 1/2a)
lmr	Listeria monocytogenes R479a (serotype 1/2a)
lmom	Listeria monocytogenes Lm60 (serotype 1/2a)
lmf	Listeria monocytogenes F2365 (serotype 4b)
lmc	Listeria monocytogenes CLIP 80459 (serotype 4b)
lmog	Listeria monocytogenes serotype 4b LL195
lmp	Listeria monocytogenes 07PF0776 (serotype 4b)
lmol	Listeria monocytogenes L312 (serotype 4b)
lmoj	Listeria monocytogenes J1816 (serotype 4b)
lmoz	Listeria monocytogenes J1-220 (serotype 4b)
lmox	Listeria monocytogenes WSLC1042 (serotype 4b)
lmh	Listeria monocytogenes HCC23 (serotype 4a)
lmq	Listeria monocytogenes M7 (serotype 4a)
lml	Listeria monocytogenes L99 (serotype 4a)
lmg	Listeria monocytogenes FSL R2-561
lms	Listeria monocytogenes Finland 1998
lmj	Listeria monocytogenes J0161
lmw	Listeria monocytogenes SLCC2755 (serotype 1/2b)
lmx	Listeria monocytogenes SLCC2372 (serotype 1/2c)
lmz	Listeria monocytogenes serotype 7 SLCC2482
lmon	Listeria monocytogenes SLCC2376 (serotype 4c)
lmos	Listeria monocytogenes SLCC7179 (serotype 3a)
lmoo	Listeria monocytogenes SLCC2378 (serotype 4e)
lmoy	Listeria monocytogenes SLCC2479 (serotype 3c)
lmot	Listeria monocytogenes SLCC2540 (serotype 3b)
lmoa	Listeria monocytogenes ATCC 19117 (serotype 4d)
lmok	Listeria monocytogenes NE dc2014
lmv	Listeria monocytogenes CFSAN006122
lin	Listeria innocua (serotype 6a)
lwe	Listeria welshimeri
lsg	Listeria seeligeri
liv	Listeria ivanovii subsp. ivanovii PAM 55
lii	Listeria ivanovii subsp. ivanovii WSLC 3010
liw	Listeria ivanovii WSLC3009
lia	Listeria ivanovii subsp. londoniensis WSLC 30167
lio	Listeria ivanovii subsp. londoniensis WSLC 30151
lwi	Listeria weihenstephanensis
lgz	Listeria grayi
bths	Brochothrix thermosphacta
esi	Exiguobacterium sibiricum
eat	Exiguobacterium sp. AT1b
ean	Exiguobacterium antarcticum
exm	Exiguobacterium sp. MH3
exu	Exiguobacterium sp. U13-1
got	Gemella sp. oral taxon 928
gmo	Gemella morbillorum
geq	Gemella sp. ND 6198
gsa	Gemella sanguinis
gha	Gemella haemolysans
bbe	Brevibacillus brevis
blr	Brevibacillus laterosporus
bfm	Brevibacillus formosus
bagr	Brevibacillus agri
brw	Brevibacillus sp. 7WMA2
pjd	Paenibacillus sp. JDR-2
gym	Paenibacillus sp. Y412MC10
ppy	Paenibacillus polymyxa E681
ppm	Paenibacillus polymyxa SC2
ppo	Paenibacillus polymyxa M1
ppol	Paenibacillus polymyxa CR1
ppq	Paenibacillus polymyxa SQR-21
ppoy	Paenibacillus polymyxa Sb3-1
pms	Paenibacillus mucilaginosus KNP414
pmq	Paenibacillus mucilaginosus 3016
pmw	Paenibacillus mucilaginosus K02
pta	Paenibacillus terrae
plv	Paenibacillus larvae
psab	Paenibacillus sabinae
pdu	Paenibacillus durus
pbd	Paenibacillus borealis
pgm	Paenibacillus graminis
pod	Paenibacillus odorifer
paen	Paenibacillus sp. FSL P4-0081
paef	Paenibacillus sp. FSL R5-0345
paeq	Paenibacillus sp. FSL R5-0912
pste	Paenibacillus stellifer
paea	Paenibacillus sp. FSL R7-0273
paee	Paenibacillus sp. FSL R7-0331
paeh	Paenibacillus sp. FSL H7-0357
paej	Paenibacillus sp. FSL H7-0737
pbj	Paenibacillus beijingensis
pih	Paenibacillus sp. IHBB 10380
pri	Paenibacillus riograndensis
ppeo	Paenibacillus peoriae
pnp	Paenibacillus naphthalenovorans
pow	Paenibacillus sp. 32O-W
pbv	Paenibacillus bovis
pxl	Paenibacillus xylanexedens
pyg	Paenibacillus yonginensis
pswu	Paenibacillus swuensis
pdh	Paenibacillus donghaensis
pib	Paenibacillus ihbetae
pcx	Paenibacillus crassostreae
pkb	Paenibacillus kribbensis
paih	Paenibacillus sp. IHB B 3084
pvo	Paenibacillus vortex
plw	Paenibacillus lautus
plen	Paenibacillus lentus
ppsc	Paenibacillus psychroresistens
plut	Paenibacillus lutimineralis
palb	Paenibacillus albus
pchi	Paenibacillus chitinolyticus
pbk	Paenibacillus baekrokdamisoli
tco	Thermobacillus composti
anx	Aneurinibacillus sp. XH2
asoc	Aneurinibacillus soli
coh	Cohnella candidum
cohn	Cohnella sp. HS21
saca	Saccharibacillus brassicae
aac	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
aad	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
bts	Kyrpidia tusciae
kyr	Kyrpidia spormannii
tum	Tumebacillus avium
tab	Tumebacillus algifaecis
siv	Solibacillus silvestris StLB046
ssil	Solibacillus silvestris DSM 12223
sob	Solibacillus sp. R5-41
pln	Planococcus sp. PAMC 21323
pku	Planococcus kocurii
prt	Planococcus rifietoensis
pll	Planococcus versutus
pana	Planococcus antarcticus
pdg	Planococcus donghaensis
phc	Planococcus halocryophilus
pmar	Planococcus sp. Y42
ppla	Planococcus plakortidis
pfae	Planococcus faecalis
plx	Planococcus sp. MB-3u-03
pmat	Planococcus maritimus
jeo	Jeotgalibacillus malaysiensis
kur	Kurthia sp. 11kri321
kzo	Kurthia zopfii
spsy	Sporosarcina psychrophila
spor	Sporosarcina sp. P33
spop	Sporosarcina sp. P37
sure	Sporosarcina ureae
spos	Sporosarcina sp. PTS2304
spae	Sporosarcina pasteurii
rst	Rummeliibacillus stabekisii
paek	Paenisporosarcina sp. K2R23-3
panc	Paenisporosarcina antarctica
pgq	Planomicrobium glaciei
play	Planomicrobium sp. Y50
ntr	Novibacillus thermophilus
lfb	Laceyella sacchari
tvu	Thermoactinomyces vulgaris
kpul	Kroppenstedtia pulmonis
keb	Kroppenstedtia eburnea
lla	Lactococcus lactis subsp. lactis Il1403
llk	Lactococcus lactis subsp. lactis KF147
llt	Lactococcus lactis subsp. lactis CV56
lls	Lactococcus lactis subsp. lactis IO-1
lld	Lactococcus lactis subsp. lactis KLDS 4.0325
llx	Lactococcus lactis subsp. lactis NCDO 2118
llm	Lactococcus lactis subsp. cremoris MG1363
llc	Lactococcus lactis subsp. cremoris SK11
llr	Lactococcus lactis subsp. cremoris A76
lln	Lactococcus lactis subsp. cremoris NZ9000
lli	Lactococcus lactis subsp. cremoris UC509.9
llw	Lactococcus lactis subsp. cremoris KW2
llj	Lactococcus lactis AI06
lgr	Lactococcus garvieae ATCC 49156
lgv	Lactococcus garvieae Lg2
lpk	Lactococcus piscium
lrn	Lactococcus raffinolactis
lact	Lactococcus sp. 1JSPR-7
lack	Lactococcus sp. KACC 19320
spy	Streptococcus pyogenes M1 GAS (serotype M1)
spz	Streptococcus pyogenes MGAS5005 (serotype M1)
spym	Streptococcus pyogenes M1 476 (serotype M1)
spya	Streptococcus pyogenes A20 (serotype M1)
spm	Streptococcus pyogenes MGAS8232 (serotype M18)
spg	Streptococcus pyogenes MGAS315 (serotype M3)
sps	Streptococcus pyogenes SSI-1 (serotype M3)
sph	Streptococcus pyogenes MGAS10270 (serotype M2)
spi	Streptococcus pyogenes MGAS10750 (serotype M4)
spj	Streptococcus pyogenes MGAS2096 (serotype M12)
spk	Streptococcus pyogenes MGAS9429 (serotype M12)
spf	Streptococcus pyogenes Manfredo (serotype M5)
spa	Streptococcus pyogenes MGAS10394 (serotype M6)
spb	Streptococcus pyogenes MGAS6180 (serotype M28)
stg	Streptococcus pyogenes MGAS15252 (serotype M59)
stx	Streptococcus pyogenes MGAS1882 (serotype M59)
soz	Streptococcus pyogenes NZ131 (serotype M49)
stz	Streptococcus pyogenes Alab49 (serotype M53)
spyh	Streptococcus pyogenes HSC5 (serotype M14)
spyo	Streptococcus pyogenes STAB901 (serotype M44)
spn	Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spd	Streptococcus pneumoniae D39 (virulent serotype 2)
spr	Streptococcus pneumoniae R6 (avirulent serotype 2)
spw	Streptococcus pneumoniae CGSP14 (serotype 14)
sjj	Streptococcus pneumoniae JJA (serotype 14)
snv	Streptococcus pneumoniae INV200 (serotype 14)
spx	Streptococcus pneumoniae G54 (serotype 19F)
snt	Streptococcus pneumoniae Taiwan19F-14 (serotype 19F)
snd	Streptococcus pneumoniae ST556 (serotype 19F)
spnn	Streptococcus pneumoniae A026 (serotype 19F)
sne	Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
spv	Streptococcus pneumoniae Hungary19A 6 (serotype 19A)
snc	Streptococcus pneumoniae TCH8431/19A (serotype 19A)
snm	Streptococcus pneumoniae 70585 (serotype 5)
spp	Streptococcus pneumoniae P1031 (serotype 1)
sni	Streptococcus pneumoniae INV104 (serotype 1)
spng	Streptococcus pneumoniae gamPNI0373 (virulent serotype 1)
snb	Streptococcus pneumoniae 670-6B (serotype 6B)
snp	Streptococcus pneumoniae AP200 (serotype 11A)
snx	Streptococcus pneumoniae OXC141 (serotype 3)
snu	Streptococcus pneumoniae SPNA45 (serotype 3)
spne	Streptococcus pneumoniae SPN034156 (serotype 3)
spnu	Streptococcus pneumoniae SPN034183 (serotype 3)
spnm	Streptococcus pneumoniae SPN994038 (serotype 3)
spno	Streptococcus pneumoniae SPN994039 (serotype 3)
sag	Streptococcus agalactiae 2603 (serotype V)
san	Streptococcus agalactiae NEM316 (serotype III)
sak	Streptococcus agalactiae A909 (serotype Ia)
sgc	Streptococcus agalactiae GD201008-001 (serotype Ia)
sags	Streptococcus agalactiae SA20
sagl	Streptococcus agalactiae 2-22 (serotype Ib)
sagm	Streptococcus agalactiae 09mas018883
sagi	Streptococcus agalactiae ILRI005
sagr	Streptococcus agalactiae ILRI112
sagp	Streptococcus agalactiae 138P
sagc	Streptococcus agalactiae 138spar
sagt	Streptococcus agalactiae COH1
sage	Streptococcus agalactiae NGBS061
sagg	Streptococcus agalactiae NGBS572
sagn	Streptococcus agalactiae CNCTC 10/84
smu	Streptococcus mutans UA159 (serotype c)
smc	Streptococcus mutans NN2025 (serotype c)
smut	Streptococcus mutans GS-5 (serotype c)
smj	Streptococcus mutans LJ23 (serotype k)
smua	Streptococcus mutans UA159-FR
stc	Streptococcus thermophilus CNRZ1066
stl	Streptococcus thermophilus LMG 18311
ste	Streptococcus thermophilus LMD-9
stn	Streptococcus thermophilus ND03
stu	Streptococcus thermophilus JIM 8232
stw	Streptococcus thermophilus MN-ZLW-002
sthe	Streptococcus thermophilus ASCC 1275
sths	Streptococcus thermophilus S9
ssa	Streptococcus sanguinis
ssb	Streptococcus suis BM407 (serotype 2)
ssu	Streptococcus suis 05ZYH33 (serotype 2)
ssv	Streptococcus suis 98HAH33 (serotype 2)
ssi	Streptococcus suis P1/7 (serotype 2)
sss	Streptococcus suis SC84 (serotype 2)
ssf	Streptococcus suis A7 (serotype 2)
ssw	Streptococcus suis GZ1 (serotype 2)
sup	Streptococcus suis S735 (serotype 2)
ssus	Streptococcus suis SC070731 (serotype 2)
sst	Streptococcus suis ST3 (serotype 3)
ssuy	Streptococcus suis YB51 (serotype 3)
ssk	Streptococcus suis D12 (serotype 9)
ssq	Streptococcus suis D9 (serotype 7)
sui	Streptococcus suis JS14 (serotype 14)
suo	Streptococcus suis SS12 (serotype 1/2)
srp	Streptococcus suis ST1 (serotype 1)
ssut	Streptococcus suis TL13 (serotype 16)
ssui	Streptococcus suis T15
sgo	Streptococcus gordonii
sez	Streptococcus equi subsp. zooepidemicus MGCS10565
seq	Streptococcus equi subsp. zooepidemicus H70
sezo	Streptococcus equi subsp. zooepidemicus ATCC 35246
sequ	Streptococcus equi subsp. zooepidemicus CY
seu	Streptococcus equi subsp. equi 4047
sub	Streptococcus uberis
sds	Streptococcus dysgalactiae subsp. equisimilis GGS_124
sdg	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
sda	Streptococcus dysgalactiae subsp. equisimilis RE378
sdc	Streptococcus dysgalactiae subsp. equisimilis AC-2713
sdq	Streptococcus dysgalactiae subsp. equisimilis 167
sga	Streptococcus gallolyticus UCN34
sgg	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
sgt	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
smb	Streptococcus mitis
sor	Streptococcus oralis
stk	Streptococcus parauberis
stb	Streptococcus pasteurianus
scp	Streptococcus parasanguinis ATCC 15912
scf	Streptococcus parasanguinis FW213
ssr	Streptococcus salivarius CCHSS3
stf	Streptococcus salivarius 57.I
stj	Streptococcus salivarius JIM8777
