name	map_to
Alkyl aryl ethers	ISA35618
Alcohols and polyols	ISA26191; ISA30879; ISA33822
Azaspirodecane derivatives	ISA35624
Enediols	ISA33822
Enols	ISA33823
"1,3-dicarbonyl compounds"	ISA36586
Phenols and derivatives	ISA33853
Catechols	ISA33566
Hydroquinones	ISA24646
Resorcinols	ISA33572
Anisoles	ISA51683
Tyrosols and derivatives	ISA33853; ISA30879
Aminophenols	ISA48975; ISA33853
Nitrophenols and derivatives	ISA35716; ISA33853
Stilbene glycosides	ISA26776; ISA24400
Bisphenols	ISA22901
Chromones	ISA23238
Coumarins and derivatives	ISA23403
Acylaminosugars	ISA28963
Macrolides and analogues	ISA25106
Dithiazoles	ISA68452; ISA38106
Aflatoxins	ISA22271
Dibenzoxazepines	ISA53802
Anthraquinones	ISA22580
M-iminoquinones	ISA50193
Naphthoquinones	ISA25481
Pentacenequinones	ISA51271; ISA36141
Tetracenequinones	ISA51270; ISA36141
Adamantanones	ISA22235
Carbodiimides	ISA53091
Organic hydroxylamines	ISA24709
Epoxides	ISA32955
Lactams	ISA24995
Epothilones and analogues	ISA60831
Beta lactams	ISA35627
Caprolactams	ISA23000
Delta lactams	ISA77727
Gamma lactams	ISA74222
Thiolactams	ISA47956
Carbapenems	ISA46633
Cephems	ISA38311
Clavams	ISA35992
Monobactams	ISA50695
Oxacephems	ISA55506
Penams	ISA35992
Cephalosporins	ISA23066
Penicillins	ISA17334
Glycerolipids	ISA35741
Benzoic acids and derivatives	ISA22723
Imidazopyridinones	ISA46908
Benzamides	ISA22702
Hippuric acids and derivatives	ISA16180
Oleanane triterpenoids	ISA36615
Tetracyclines	ISA26895
Catecholamines and derivatives	ISA33567
Tryptamines and derivatives	ISA27162
Pheniramines	ISA26421; ISA50996
Phenylmethylamines	ISA33860
Phenethylamines	ISA32877
Phenylpropylamines	ISA32952
Amphetamines and derivatives	ISA35338
Piperazines	ISA26114
Methoxyphenols	ISA33853; ISA51683
Diazaspirononane derivatives	ISA35624
Cyclopyrrolones	ISA74222
Dioxoles	ISA38104
Nitrofurans	ISA35716; ISA24129
Piperidines	ISA26151
Oxazolidinones	ISA55374
Oxazolidinediones	ISA55374
Oligosaccharides	ISA50699
Thioxanthenes	ISA50930
Xanthenes	ISA38835
Tocopherols	ISA27013
Psoralens	ISA26369
Thioxanthones	ISA50930; ISA76224
Xanthones	ISA51149
Pyrazolones	ISA26410
Cinnolines	ISA38770
Phthalazines	ISA38768
Pyridazinones	ISA26414
Phthalazinones	ISA38768
Carbazoles	ISA48513
Indoles and derivatives	ISA24828
Porphyrins	ISA26214
Pyrrolopyridines	ISA46771
Hydroxyeicosapentaenoic acids	ISA72799
Sugar acids and derivatives	ISA78618
Indolizines	ISA38485
Pyrazolidines	ISA38312
Pyrrolidines	ISA38260
Pyrrolizines	ISA38522
Pyrrolizidines	ISA38522
Quinolizidines	ISA26516
Quinolizines	ISA38063
Hydrophenanthrenes	ISA25961
Thiadiazines	ISA25693; ISA38101; ISA38106
Nitrothiazoles	ISA48901; ISA35716
Thiazolidines	ISA35622
Thiazolidinones	ISA48891
Thiazolidinediones	ISA50990
Thiazolines	ISA48901
Organic superoxides	ISA36983
Benzothiepins	ISA38106; ISA27171
Dibenzothiepins	ISA38924
Thiolanes	ISA48224
Triazolones	ISA35727
Triazolidines	ISA51262
Ellagic acids and derivatives	ISA38163
Acyl monophosphates	ISA16826
Tannins	ISA26848
Indolizinoquinolines	ISA38163; ISA38101
Camptothecins	ISA48626
Pyranoindolizines	ISA26979; ISA38101; ISA38104
Nitroimidazoles	ISA24780; ISA35716
Thienoimidazoles	ISA47029
Biotin and derivatives	ISA51570
Purines and purine derivatives	ISA26401
Hypoxanthines	ISA25810
Xanthines	ISA25810
"1,2-dioxoles"	ISA25702; ISA38104
Thioxanthines	ISA26401; ISA33261
Imidazolidines	ISA38261
Indolizidines	ISA38485
Quinuclidines	ISA26518
Stilbenes	ISA26776
Ethers	ISA25698
Folic acids and derivatives	ISA37445
Glycerophospholipids	ISA37739
Sphingolipids	ISA26739
Steroids and steroid derivatives	ISA35341
Prenol lipids	ISA64611
"Monohydroxy bile acids, alcohols and derivatives"	ISA3098
Phenylpropanoids and polyketides	ISA36963
Fatty acids	ISA25384
Sesquiterpene glycosides	ISA61777
Organic acids and derivatives	ISA64709
Carboxylic acids and derivatives	ISA33575
Short-chain hydroxy acids and derivatives	ISA24669
Organohalogen compounds	ISA36684
Sulfenic acids and derivatives	ISA51333
Sulfinic acids and derivatives	ISA37784
Sulfonic acids and derivatives	ISA33552
Carbamic acids	ISA33709; HFP28616
"1,3-dioxoles"	ISA38104
Miscellaneous chromates	ISA35402
Acridines	ISA22213
Acryloyl compounds	ISA78840; HFP18308
Acyl glycines	ISA16180
Organic alkaline earth metal compounds	ISA33299
Organonitrogen compounds	ISA35352
Alkaloids and derivatives	ISA23315
Beta-amino ketones	ISA17087; ISA50047
Aminobenzoic acids and derivatives	ISA22495
Aminoglycosides	ISA47779
Aminopyridines and derivatives	ISA38207
Anilines	ISA48975
Anilides	ISA13248
Primary alcohols	ISA15734
Organomagnesium compounds	ISA33976
Thioanisoles	ISA35683
"Nucleosides, nucleotides, and analogues"	ISA61120
Azulenes	ISA38096
Pyrimidones	ISA38387
Barbituric acid derivatives	ISA22693
Benzazepines	ISA35676
Benzimidazoles	ISA22715
Benzodiazepines	ISA22720
Benzodioxoles	ISA38298
Lysophosphatidylglycerols	ISA24360
Fatty aldehydes	ISA35746
Medium-chain hydroxy acids and derivatives	ISA36586
Benzarsoles	ISA33406; ISA27171
Benzofurans	ISA35259
Benzoxazoles	ISA46700
Phenylpiperidines	ISA26151
Pyrazolopyridines	ISA46699
Pyrazolopyrimidines	ISA38669
Phenyltetrazoles and derivatives	ISA35689
Azepanes	ISA46986
Benzothiadiazines	ISA50265
Benzothiazines	ISA46899
Phenothiazines	ISA38093
Benzothiazoles	ISA37947
Benzothiophenes	ISA38767
Triazolopyrazines	ISA48277
Triazolopyridines	ISA46746
Benzotriazoles	ISA48912
Benzopyrenes	ISA35300
Benzothiazepines	ISA48684
Carbamic acids and derivatives	ISA23003
Benzoxazepines	ISA38101; ISA38104
Dibenzazepines	ISA53802
Benzoyl derivatives	ISA36586
Betaxanthins and derivatives	ISA22861
Organooxygen compounds	ISA36963
Fatty acid esters	ISA35748
Biphenols	ISA24681
Bipyridines and oligopyridines	ISA50511
Bisphosphonates	ISA77383
Imidazopyridines	ISA46908
Phenylazirines	ISA47848
Phenylbenzimidazoles	ISA22715
Fatty amides	ISA29348
Phosphatidylglycerophosphates	ISA17264
Straight chain fatty acids	ISA59202
Flavonoids	ISA72544
N-acylpiperidines	ISA48591
Anthocyanidins	ISA38695
Flavans	ISA38672
Branched fatty acids	ISA35819
Unsaturated fatty acids	ISA27208
Hydroperoxy fatty acids	ISA64009
Hydroxy fatty acids	ISA24654
Pyridinylpyrimidines	ISA38101
Pyrrolopyrazines	ISA48337
Thienopyridines	ISA37942
Azaborinanes	ISA33406
Dicarboxylic acids and derivatives	ISA35692
Amino acids and derivatives	ISA35352; ISA36963; HFP33709
Peptides	ISA16670
Organoantimony compounds	ISA36919
Butyrophenones	ISA22951
Biflorane and serrulatane diterpenoids	ISA23849
Cobalamin derivatives	ISA33906
Corrinoids	ISA33913
Coumestans	ISA72577
Cumenes	ISA38976
Curcuminoids	ISA78802
Sesquaterpenoids	ISA51961
Furanocoumarins	ISA24128
Thietanes	ISA38106; ISA36389
Thietes	ISA38106
Organic cyanamides	ISA53091
Nitriles	ISA18379
Cyanates	ISA23420
Organic carbonic acids and derivatives	HFP28976; ISA36963
Cyclamates	ISA35719
Nitrosimines	ISA35800
Dihydropyridines	ISA50075
Dioxanes	ISA46926
Diphenylmethanes	ISA51614
Phenylmorpholines	ISA38785
"Ergotamines, dihydroergotamines, and derivatives"	ISA25904
Fentanyls	ISA26151
Glucosinolates	ISA24279
Glucuronides	ISA24302
Guanidines	ISA24436
Hydroxamic acids	ISA24650
Thiiranes	ISA36389; ISA38106
Dithietanes	ISA38106; ISA36389
Proanthocyanidins	ISA26267
Hydroxyquinols and derivatives	ISA22707
Aporphines	ISA24921
Phloroglucinols and derivatives	ISA22707
Hydroperoxyeicosatrienoic acids	ISA64009
Alloxazines and isoalloxazines	ISA37326
Batrachotoxins and derivatives	ISA26767
Acyl cholines	ISA35287
Hydroperoxyeicosatetraenoic acids	ISA64009
Ketenes	ISA48002
Keto acids and derivatives	ISA25754
Indolequinones	ISA24829
Mitomycins	ISA25357
Morpholines	ISA38785
Oxoeicosapolyenoic acids	ISA26208
Alpha amino acid esters	ISA46874
Organic nitrates	ISA51081
Organic nitrites	ISA25549
Pyrogallols and derivatives	ISA22707
Nitrogen mustard compounds	ISA37598
Phenylazides	ISA22680
Organophosphorus compounds	ISA25710
Organic phosphines and derivatives	ISA35883
Organic phosphoric acids and derivatives	ISA26079
Organic sulfuric acids and derivatives	ISA37826
Miscellaneous chromites	ISA23237
Organoarsenic compounds	ISA33406
Organolithium compounds	ISA51186
Organomercurial compounds	ISA25196
Phosphate esters	ISA37734
Keto fatty acids	ISA59644
Azo compounds	ISA37533
Oximes	ISA25750
Dioxetanes	ISA38104
Pentalenes	ISA36785
Organic peroxides	ISA25702
Boronic acids	ISA38269
Phenazines and derivatives	ISA39201
Phenoxyacetic acid derivatives	ISA25384
Phenylacetic acid derivatives	ISA25384
Organic phosphonic acids and derivatives	ISA26069
Chlorinated dibenzo-p-dioxins	ISA23825
Methoxy fatty acids	ISA35366; ISA25698
Homogeneous metal compounds	ISA24835
Homogeneous non-metal compounds	ISA23367
Mixed metal/non-metal compounds	ISA23367
Homogeneous alkali metal compounds	ISA33296
Homogeneous transition metal compounds	ISA33497
Homogeneous post-transition metal compounds	ISA24835
Homogeneous alkaline earth metal compounds	ISA33299
Homogeneous lanthanide compounds	ISA33775
Homogeneous actinide compounds	ISA33498
Homogeneous metalloid compounds	ISA24835
Homogeneous halogens	ISA24471
Homogeneous noble gases	ISA33583
Homogeneous other non-metal compounds	ISA24835
Non-metal oxoanionic compounds	ISA35406
Azoles	ISA68452
Other non-metal halides	ISA37578
Alkali metal salts	ISA35479
Alkaline earth metal salts	ISA36364
Lanthanide salts	ISA24866; ISA33775
Actinide salts	ISA33498; ISA24866
Metalloid salts	ISA24866
Transition metal salts	ISA24866; ISA33497
Post-transition metal salts	ISA24866
Alkali metal oxoanionic compounds	ISA33296; ISA35406
Alkaline earth metal oxoanionic compounds	ISA35406; ISA33299
Lanthanide oxoanionic compounds	ISA33775; ISA35406
Actinide oxoanionic compounds	ISA33498; ISA35406
Metalloid oxoanionic compounds	ISA35406
Transition metal oxoanionic compounds	ISA35405
Post-transition metal oxoanionic compounds	ISA35406
Metalloporphyrins	ISA25216
Other non-metal organides	ISA24835
Halogen organides	ISA24471
Actinide organides	ISA33498
Alkali metal organides	ISA33296
Alkaline earth metal organides	ISA33299
Post-transition metal organides	ISA24835
Lanthanide organides	ISA33775
Metalloid organides	ISA24835
Transition metal organides	ISA33497
Organometallic compounds	ISA25707
Organic oxoanionic compounds	ISA35406
Acetylenedicarboxylates	ISA73474
Coumaric acid esters	ISA36087
Fulminates	ISA35352; ISA36963
Phenylcarbamates	ISA23003
Dicarbonic acids and derivatives	ISA36631
Monoalkylamines	ISA13759
Enamines	ISA47989
Nitro fatty acids	ISA35366; ISA35716
Hydroxy acids and derivatives	ISA24669
Organogold compounds	ISA33969
Biguanides	ISA53662
Carboxylic acid amides	ISA32988
Cinnamic acids and derivatives	ISA78840; HFP27386
Acyclic sesquiterpenoids	ISA26658
Polyprenyl phosphates	ISA16460
Purine nucleosides and analogues	ISA26394
Pyrimidine nucleosides and analogues	ISA26440
Pyranones and derivatives	ISA37963
Trithiolanes	ISA39195
Halogenated fatty acids	ISA60692
Dithiolanes	ISA39192
Quinazolines	ISA38530
Quinoxalines	ISA38771
Salicylic acid and derivatives	ISA22712; ISA36586
Organic nitric acids and derivatives	ISA51081
Amino fatty acids	ISA59650
Sulfonylureas	ISA76983
Sulfoxides	ISA35813
Tropanes	ISA37332
Thiaziridines	ISA38101; ISA38106
Isoflavones	ISA38757
Carbocyclic fatty acids	ISA35744
Amine oxides and derivatives	ISA35580; ISA35323
Aminals	ISA35412
Boronic acid derivatives	ISA38269
Imidoesters	ISA35352; ISA33241
Chlorinated biphenyls	ISA22888; ISA36683
Isocyanates	ISA53212
Xanthanolides	ISA37667
Quaternary ammonium salts	ISA35273
Lineolic acids and derivatives	ISA18059
Sulfones	ISA35850
Sulfonyl halides	ISA33261
Isoflavonoid O-glycosides	ISA50753; ISA2440
Organic sulfonium compounds	ISA26830
Sultams	ISA46950
Thioamides	ISA47956
12-oxophytodienoic acid metabolites	ISA18059
Jasmonic acids	ISA18059; HFP18292
Eicosanoids	ISA23899
Prostaglandins and related compounds	ISA26347
Leukotrienes	ISA25029
"Dihydroxy bile acids, alcohols and derivatives"	ISA36078
Ureas	ISA47857
Triphenylenes	ISA35294
Thromboxanes	ISA26995
Actinide hydrides	ISA37761; ISA33498
Actinide nitrides	ISA50882; ISA33498
Actinide oxides	ISA24836; ISA33498
Actinide sulfides	ISA46718; ISA33498
Alkali metal hydrides	ISA33760
Alkali metal nitrides	ISA50882; ISA35479
Alkali metal oxides	ISA24836; ISA35479
Alkali metal sulfides	ISA46718; ISA35479
Post-transition metal hydrides	ISA37761; ISA33675
Post-transition metal nitrides	ISA50882; ISA33675
Post-transition metal oxides	ISA24836; ISA33675
Post-transition metal sulfides	ISA46718; ISA33675
Metalloid hydrides	ISA37761; ISA33675
Metalloid nitrides	ISA50882; ISA33675
Metalloid oxides	ISA24836; ISA33675
Metalloid sulfides	ISA26822; ISA33675
Transition metal hydrides	ISA33497; ISA37761
Transition metal nitrides	ISA33497; ISA50882
Transition metal oxides	ISA33497; ISA24836
Transition metal sulfides	ISA33497; ISA46718
Lanthanide hydrides	ISA33775; ISA37761
Lanthanide nitrides	ISA33775; ISA50882
Lanthanide oxides	ISA33775; ISA24836
Lanthanide sulfides	ISA33775; ISA46718
Alkaline earth metal hydrides	ISA33299; ISA37762
Alkaline earth metal nitrides	ISA36364; ISA50882
Alkaline earth metal oxides	ISA33299; ISA24836
Alkaline earth metal sulfides	ISA46718; ISA36364
Halogen hydrides	ISA37140
Halogen nitrides	ISA50882; ISA24471
Halogen oxides	ISA37749
Halogen sulfides	ISA24835
Other non-metal hydrides	ISA33242
Other non-metal nitrides	ISA50882
Other non-metal oxides	ISA24836
Other non-metal sulfides	ISA46718
Actinide astatides	ISA33498; ISA37138
Actinide bromides	ISA33498; ISA22925
Actinide chlorides	ISA33498; ISA23114
Actinide fluorides	ISA33498; ISA24060
Actinide iodides	ISA33498; ISA24858
Alkali metal astatides	ISA33296; ISA37138
Alkali metal bromides	ISA35479; ISA22925
Alkali metal chlorides	ISA35479; ISA23114
Alkali metal fluorides	ISA35479; ISA24060
Alkali metal iodides	ISA35479; ISA24858
Alkaline earth metal astatides	ISA36364; ISA37138
Alkaline earth metal bromides	ISA36364; ISA22925
Alkaline earth metal chlorides	ISA36364; ISA23114
Alkaline earth metal fluorides	ISA36364; ISA24060
Alkaline earth metal iodides	ISA36364; ISA24858
Post-transition metal astatides	ISA37138; ISA24839
Post-transition metal bromides	ISA22925; ISA24839
Post-transition metal chlorides	ISA23114; ISA36093
Post-transition metal fluorides	ISA24839; ISA24060
Post-transition metal iodides	ISA24858; ISA24839
Lanthanide astatides	ISA37138; ISA33775
Lanthanide bromides	ISA33775; ISA22925
Lanthanide chlorides	ISA33775; ISA36093
Lanthanide fluorides	ISA33775; ISA24060
Lanthanide iodides	ISA33775; ISA24858
Metalloid astatides	ISA24839; ISA37138
Metalloid bromides	ISA24839; ISA22925
Metalloid chlorides	ISA36093
Metalloid fluorides	ISA24839; ISA24060
Metalloid iodides	ISA24839; ISA24858
Transition metal astatides	ISA33497; ISA37138
Transition metal bromides	ISA33497; ISA22925
Transition metal chlorides	ISA33497; ISA36093
Transition metal fluorides	ISA33497; ISA24060
Transition metal iodides	ISA33497; ISA24858
Actinide bromates	ISA33498; ISA22923
Actinide chlorates	ISA33498; HP49709
Actinide chlorites	ISA33498; HP17441
Actinide chromates	ISA33498; HP35404
Actinide chromites	ISA33498; ISA35402
Actinide cyanates	ISA33498; ISA23420
Purinones	ISA25810
Actinide hydroxides	ISA33498; ISA33977
Actinide hypobromites	ISA33498; HP29250
Actinide hypochlorites	ISA33498; HP29222
Actinide hyponitrites	ISA33498; HP33458
Actinide hypophosphites	ISA33498; ISA24759
Actinide iodates	ISA33498; ISA33445
Actinide nitrites	ISA33498; ISA46648
Actinide nitrates	ISA33498; ISA51084
Actinide orthonitrates	ISA33498
Actinide perbromates	ISA33498; HP29246
Actinide perchlorates	ISA33498; HP49706
Actinide periodates	ISA33498; HP49826
Actinide permanganates	ISA33498; HP25939
Actinide peroxynitrates	ISA33498; HP29270
Actinide peroxynitrites	ISA33498; HP29541
33498; technetium molecular entity	ISA33498; HP49858
Actinide pertechnetates	ISA33498; ISA26868
Actinide phosphites	ISA33498; HP45064
Actinide phosphates	ISA33498; ISA24838
Actinide pyrophosphates	ISA33498; HP18361
Actinide selenates	ISA33498; HP15075
Actinide selenites	ISA33498; ISA48840
Actinide sulfates	ISA33498; ISA24840
Actinide sulfites	ISA33498; ISA48857
Actinide superoxides	ISA33498
"N,N-diphenylcarbamates"	ISA23003; ISA22712
Actinide peroxomonosulfates	ISA33498; HP33482
Actinide peroxodisulfates	ISA33498; HP33482
Actinide pyrosulfates	ISA33498; HP45163
Actinide tetrathionates	ISA33498; HP23936
Actinide thiosulfates	ISA33498; ISA26977
Actinide dithionites	ISA33498; HP42160
Actinide hyposulfites	ISA33498; HP33482
Alkali metal bromates	ISA35479; ISA22923
Alkali metal chlorates	ISA35479; ISA23109
Alkali metal chlorites	ISA35479; ISA23118
Alkali metal chromates	ISA35479; HP35404
Alkali metal chromites	ISA35479; ISA23237
Alkali metal cyanates	ISA35479; ISA36831
Glycosylglycerols	ISA24406
Alkali metal hydroxides	ISA33978
Alkali metal hypobromites	ISA35479; HP29250
Alkali metal hypochlorites	ISA35479; HP29222
Alkali metal hyponitrites	ISA35479
Alkali metal hypophosphites	ISA35479; HP29198
Alkali metal iodates	ISA35479; ISA24856
Alkali metal nitrites	ISA35479; ISA46648
Alkali metal nitrates	ISA35479; ISA51084
Alkali metal orthonitrates	ISA35479
Alkali metal perbromates	ISA35479; HP29246
Alkali metal perchlorates	ISA35479; HP49706
Alkali metal periodates	ISA35479; HP49826
Alkali metal permanganates	ISA35479; HP25939
Alkali metal peroxynitrates	ISA35479; HP29270
Alkali metal peroxynitrites	ISA35479; HP25941
Alkali metal perrhenates	ISA35479; HP49858
Alkali metal pertechnetates	ISA35479; ISA26865
Alkali metal phosphites	ISA35479; HP45064
Alkali metal phosphates	ISA35479; ISA24838
Alkali metal pyrophosphates	ISA35479; HP18361
Alkali metal selenates	ISA35479; HP15075
Alkali metal selenites	ISA35479; ISA48840
Alkali metal sulfates	ISA35479; ISA24840
Alkali metal sulfites	ISA35479; ISA48857
Alkali metal superoxides	ISA35479; HP18421
Benzimidazole nucleosides and nucleotides	ISA61120
Alkali metal peroxomonosulfates	ISA35479; ISA33424
Alkali metal peroxodisulfates	ISA35479; ISA33424
Alkali metal pyrosulfates	ISA35479; HP45163
Alkali metal tetrathionates	ISA35479; HP15226
Alkali metal thiosulfates	ISA35479; ISA26977
Alkali metal dithionites	ISA35479; HP42160
Alkali metal hyposulfites	ISA35479
Alkaline earth metal bromates	ISA36364; ISA22923
Alkaline earth metal chlorates	ISA36364; ISA23109
Alkaline earth metal chlorites	ISA36364; ISA23118
Alkaline earth metal chromates	ISA36364; HP35404
Alkaline earth metal cyanates	ISA36364; ISA36831
Taxanes and derivatives	ISA50367
Alkaline earth metal hydroxides	ISA33989
Alkaline earth metal hypobromites	ISA36364; HP29250
Alkaline earth metal hypochlorites	ISA36364; HP29222
Alkaline earth metal hyponitrites	ISA36364
Alkaline earth metal hypophosphites	ISA36364; HP29198
Alkaline earth metal iodates	ISA36364; ISA24856
Alkaline earth metal nitrites	ISA36364; ISA46648
Alkaline earth metal nitrates	ISA36364; ISA51084
Alkaline earth metal orthonitrates	ISA36364
Alkaline earth metal perbromates	ISA36364; HP29246
Alkaline earth metal perchlorates	ISA36364; HP49706
Alkaline earth metal periodates	ISA36364; HP49826
Alkaline earth metal permanganates	ISA36364; HP25939
Alkaline earth metal peroxynitrates	ISA36364; HP29270
Alkaline earth metal peroxynitrites	ISA36364; HP25941
Alkaline earth metal perrhenates	ISA36364; HP49858
Alkaline earth metal pertechnetates	ISA36364; ISA26865
Alkaline earth metal phosphites	ISA36364; HP45064
Alkaline earth metal phosphates	ISA36364; ISA24838
Alkaline earth metal pyrophosphates	ISA36364; HP18361
Alkaline earth metal selenates	ISA36364; HP15075
Alkaline earth metal selenites	ISA36364; ISA48840
Alkaline earth metal sulfates	ISA36364; ISA24840
Alkaline earth metal sulfites	ISA36364; ISA48857
Alkaline earth metal superoxides	ISA36364; HP18421
Sesterterpene lactones	ISA26660; ISA25000
Alkaline earth metal peroxomonosulfates	ISA36364; ISA33424
Alkaline earth metal peroxodisulfates	ISA36364; ISA33424
Alkaline earth metal pyrosulfates	ISA36364; HP45163
Alkaline earth metal tetrathionates	ISA36364; HP15226
Alkaline earth metal thiosulfates	ISA36364; ISA26977
Alkaline earth metal dithionites	ISA36364; HP42160
Alkaline earth metal hyposulfites	ISA36364
Post-transition metal bromates	ISA22923
Post-transition metal chlorates	ISA23109
Post-transition metal chlorites	ISA23118
Post-transition metal chromates	ISA33675; HP35404
Post-transition metal chromites	ISA33675; ISA23237
Post-transition metal cyanates	ISA36831
Chlorins	ISA33910
Post-transition metal hydroxides	ISA24651
Post-transition metal hypobromites	ISA33675; HP29250
Post-transition metal hypochlorites	ISA33675; HP29222
Post-transition metal hyponitrites	ISA33675
Post-transition metal hypophosphites	ISA33675; HP29198
Post-transition metal iodates	ISA24856
Post-transition metal nitrites	ISA46648
Post-transition metal nitrates	ISA51084
Post-transition metal orthonitrates	ISA33675
Post-transition metal perbromates	ISA33675; HP29246
Post-transition metal perchlorates	ISA33675; HP49706
Post-transition metal periodates	ISA33675; HP49826
Post-transition metal permanganates	ISA33675; HP25939
Post-transition metal peroxynitrates	ISA33675; HP29270
Post-transition metal peroxynitrites	ISA33675; HP25941
Post-transition metal perrhenates	ISA33675; HP49858
Post-transition metal pertechnetates	ISA33675; ISA26865
Post-transition metal phosphites	ISA33675; HP45064
Post-transition metal phosphates	ISA33675; ISA24838
Post-transition metal pyrophosphates	ISA33675; HP18361
Post-transition metal selenates	ISA33675; HP15075
Post-transition metal selenites	ISA48840
Post-transition metal sulfates	ISA24840
Post-transition metal sulfites	ISA48857
Post-transition metal superoxides	ISA33675; HP18421
Phospholanes	ISA25710; ISA25693
Post-transition metal peroxomonosulfates	ISA33424
Post-transition metal peroxodisulfates	ISA33424
Post-transition metal pyrosulfates	ISA33675; HP45163
Post-transition metal tetrathionates	ISA33675; HP15226
Post-transition metal thiosulfates	ISA26977
Post-transition metal dithionites	ISA33675; HP42160
Post-transition metal hyposulfites	ISA33675
Lanthanide bromates	ISA33775; ISA22923
Lanthanide chlorates	ISA33775; ISA23109
Lanthanide chlorites	ISA33775; ISA23118
Lanthanide chromates	ISA33775; HP35404
Lanthanide chromites	ISA33775; ISA23237
Lanthanide cyanates	ISA33775; ISA36831
